Species	Size	Guild	Life form	Attachment	Nitrogen fixing	Pollution tolerance	Trophic preference	Oxygen requirement
Planothidium delicatulum	Meso	Low profile	Colonial life form	Strong attachment	N	3	5.548	3
Planothidium daui	Micro	Low profile	Colonial life form	Strong attachment	N	1.2	5.548	3
Planothidium dubium	Micro	Low profile	Colonial life form	Strong attachment	N	2	6.034	3
Planothidium ellipticum	Meso	Low profile	Colonial life form	Strong attachment	N	3.2	5.403	3
Planothidium frequentissimum	Micro	Low profile	Colonial life form	Strong attachment	N	2.6	7	3
Planothidium haynaldii	Micro	Low profile	Colonial life form	Strong attachment	N	3	5.548	3
Planothidium incuriatum	Micro	Motile	Unicellular life form	Weak attachment	N	2.112	5.967	3
Planothidium joursacense	Micro	Motile	Unicellular life form	Unattached	N	3	5.603	3
Planothidium lanceolatum	Nano	Low profile	Colonial life form	Strong attachment	N	1.4	5	3
Planothidium miotum	Nano	Low profile	Colonial life form	Strong attachment	N	2	5.552	3
Planothidium rostratoholarcticum	Nano	Motile	Unicellular life form	Unattached	N	2.078	5.561	3
Planothidium rostratum	Nano	Low profile	Colonial life form	Strong attachment	N	1.6	5.477	3
Planothidium victorii	Nano	Low profile	Colonial life form	Strong attachment	N	2.205	5.517	3
Planothidium spp.	Nano	Low profile	Colonial life form	Strong attachment	N	2.082	5.552	3
Platessa hustedtii	Micro	Motile	Unicellular life form	Unattached	N	1.2	4	1
Platessa montana	Nano	Low profile	Colonial life form	Strong attachment	N	1	4	2
Pleurosigma elongatum	Micro	Low profile	Unicellular life form	Weak attachment	N	4	4	1
Pleurosigma spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	4	3	1
Pleurosira indica	Micro	Low profile	Unicellular life form	Weak attachment	N	4	3	2
Pleurosira laevis	Large	Low profile	Unicellular life form	Weak attachment	N	4	4	1
Prestauroneis integra	Macro	Motile	Unicellular life form	Unattached	N	3	5	3
Prestauroneis lowei	Micro	Low profile	Unicellular life form	Weak attachment	N	3	5	3
Prestauroneis nenwai	Micro	Low profile	Unicellular life form	Weak attachment	N	3	5	3
Psammothidium bioretii	Nano	Low profile	Unicellular life form	Weak attachment	N	1	3	1
Psammothidium helveticum	Nano	Low profile	Unicellular life form	Weak attachment	N	1	3	2
Psammothidium levanderi	Nano	Low profile	Unicellular life form	Weak attachment	N	2	3	1.506
Pseudofallacia monoculata	Nano	Motile	Unicellular life form	Unattached	N	2.715	5	3
Pseudofallacia tenera	Nano	High profile	Unicellular life form	Weak attachment	N	2.715	5	3
Pseudonitzschia pseudodelicatissima	Nano	High profile	Unicellular life form	Weak attachment	N	4.389	7	2
Pseudostaurosira brevistriata	Nano	High profile	Unicellular life form	Strong attachment	N	3	7	1
Pseudostaurosira elliptica	Nano	High profile	Unicellular life form	Strong attachment	N	3	7	1
Pseudostaurosira spp.	Nano	High profile	Unicellular life form	Weak attachment	N	3	7	1
Pseudostaurosira trainorii	Nano	High profile	Unicellular life form	Weak attachment	N	3	7	1
Pseudostaurosiropsis geocollegarum	Nano	High profile	Unicellular life form	Weak attachment	N	3	4	1
Pseudostaurosiropsis spp.	Nano	High profile	Unicellular life form	Weak attachment	N	3	4	1
Punctastriata mimetica	Nano	Low profile	Colonial life form	Unattached	N	2.3	4	1
Puncticulata praetermissa	Micro	Low profile	Unicellular life form	Weak attachment	N	2.3	4	1
Reimeria sinuata	Micro	Low profile	Unicellular life form	Strong attachment	N	1.2	3	1
Reimeria uniseriata	Micro	Low profile	Unicellular life form	Strong attachment	N	1.5	3	1
Rhabdonema adriaticum	Meso	Low profile	Unicellular life form	Strong attachment	N	1.354	6.526	2.045
Rhoicosphenia abbreviata	Meso	Low profile	Unicellular life form	Strong attachment	N	2	5	2
Rhoicosphenia californica	Meso	Motile	Unicellular life form	Strong attachment	N	2	5	2
Rhoicosphenia curvata	Meso	Low profile	Unicellular life form	Strong attachment	N	2	5	2
Rhoicosphenia spp.	Meso	Low profile	Unicellular life form	Strong attachment	N	2	5	2
Rhopalodia gibba	Macro	Low profile	Unicellular life form	Strong attachment	Y	1	4	3
Rhopalodia gibba var. ventricosa	Macro	Low profile	Unicellular life form	Strong attachment	Y	1	3	1
Rhopalodia musculus var. ventricosa	Macro	Low profile	Unicellular life form	Strong attachment	Y	1	4	2
Sellaphora absoluta	Large	Motile	Unicellular life form	Weak attachment	N	1.603	4.218	2.861
Sellaphora atomoides	Nano	Motile	Unicellular life form	Unattached	N	1.76	4.128	2.919
Sellaphora bacillum	Macro	Motile	Unicellular life form	Weak attachment	N	2	4	2
Sellaphora blackfordensis	Macro	Motile	Unicellular life form	Weak attachment	N	1.444	4.084	2.496
Sellaphora capitata	Macro	Motile	Unicellular life form	Weak attachment	N	2.154	4.451	3.637
Sellaphora constrictum	Macro	Motile	Unicellular life form	Weak attachment	N	1.528	4.103	2.731
Sellaphora crassulexigua	Macro	Motile	Unicellular life form	Weak attachment	N	1.591	4.096	2.757
Sellaphora japonica	Nano	Motile	Unicellular life form	Unattached	N	1.778	4.119	2.73
Sellaphora laevissima	Large	Motile	Unicellular life form	Unattached	N	1	3	1
Sellaphora lanceolata	Macro	Motile	Unicellular life form	Weak attachment	N	1.951	4.385	3.448
Sellaphora mongolocollegarum	Macro	Motile	Unicellular life form	Weak attachment	N	1.69	4.105	2.656
Sellaphora nigri	Nano	Motile	Unicellular life form	Weak attachment	N	2.268	5	4
Sellaphora perobesa	Macro	Motile	Unicellular life form	Weak attachment	N	1.65	4.252	2.629
Sellaphora pseudoventralis	Macro	Motile	Unicellular life form	Weak attachment	N	1.693	4.103	2.633
Sellaphora pupula	Macro	Motile	Unicellular life form	Weak attachment	N	3.4	4	3
Sellaphora saprotolerans	Macro	Motile	Unicellular life form	Weak attachment	N	2.57	4.359	3.17
Sellaphora saugerresii	Nano	Motile	Unicellular life form	Weak attachment	N	1.988	5	4
Sellaphora schadei	Nano	Motile	Unicellular life form	Unattached	N	2.074	3.991	2.682
Sellaphora schrothiana	Macro	Motile	Unicellular life form	Weak attachment	N	1.662	4.308	2.636
Sellaphora seminulum	Macro	Motile	Unicellular life form	Weak attachment	N	4.5	5	4
Sellaphora spp.	Macro	Motile	Unicellular life form	Weak attachment	N	2.155	4.37	3.563
Sellaphora stroemii	Nano	Motile	Unicellular life form	Unattached	N	1	4.096	2.784
Sellaphora ventraloconfusa	Macro	Motile	Unicellular life form	Weak attachment	N	1	4.288	2.658
Sellaphora verecundiae	Macro	Motile	Unicellular life form	Weak attachment	N	1	4.106	2.544
Sellaphora vitabunda	Macro	Motile	Unicellular life form	Weak attachment	N	1	4.379	3.103
Seminavis strigosa	Micro	Low profile	Unicellular life form	Weak attachment	N	2.7	4	1
Seminavis spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	2.7	3	1
Simonsenia delognei	Nano	Motile	Unicellular life form	Weak attachment	N	3	3	1
Skeletonema menzelii	Large	Low profile	Unicellular life form	Weak attachment	N	3.907	6	2
Skeletonema potamos	Large	Low profile	Unicellular life form	Weak attachment	N	3	6	2
Skeletonema pseudocostatum	Large	Low profile	Unicellular life form	Weak attachment	N	3.8	6	2
Skeletonema spp.	Large	Low profile	Unicellular life form	Weak attachment	N	4.032	6	2
Skeletonema subsalsum	Large	Low profile	Unicellular life form	Weak attachment	N	4.2	6	2
Spicaticribra kingstonii	Micro	Low profile	Unicellular life form	Weak attachment	N	1	4	3
Stauroneis agrestis var. inflata	Large	Motile	Unicellular life form	Medium attachment	N	1.12	4	2.688
Stauroneis amphicephala	Large	Motile	Unicellular life form	Unattached	N	1.07	4	2.46
Stauroneis anceps	Large	Motile	Unicellular life form	Unattached	N	1	4	2.477
Stauroneis anceps var. linearis	Large	Motile	Unicellular life form	Medium attachment	N	1.13	4	2.453
Stauroneis clevei	Large	Motile	Unicellular life form	Medium attachment	N	1.092	4	2.483
Stauroneis dubitabilis	Large	Motile	Unicellular life form	Medium attachment	N	1.119	4	2.485
Stauroneis gracilis	Large	Motile	Unicellular life form	Unattached	N	1	4	2.478
Stauroneis kriegeri	Nano	Motile	Unicellular life form	Unattached	N	1.2	4	2
Stauroneis obtusa	Large	Motile	Unicellular life form	Medium attachment	N	1	4	2.418
Stauroneis phoenicenteron	Large	Motile	Unicellular life form	Unattached	N	1	4	3
Stauroneis pygmaea	Large	Motile	Unicellular life form	Medium attachment	N	1.2	4	2.547
Stauroneis sacajaweae	Large	Motile	Unicellular life form	Unattached	N	1.12	4	2.561
Stauroneis siberica	Large	Motile	Unicellular life form	Unattached	N	1.039	4	2.51
Stauroneis subgracilis	Large	Motile	Unicellular life form	Medium attachment	N	1	4	2.508
Staurosira construens	Large	Motile	Unicellular life form	Weak attachment	N	2	4	1
Staurosira construens var. venter	Large	Motile	Unicellular life form	Weak attachment	N	2	4	1
Staurosira leptostauron	Large	Motile	Unicellular life form	Weak attachment	N	2	4	1
Staurosira venter	Large	Motile	Unicellular life form	Weak attachment	N	2	4	1
Staurosira venter var. binodis	Large	Motile	Unicellular life form	Weak attachment	N	2	4	1
Staurosirella leptostauron	Large	Motile	Unicellular life form	Weak attachment	N	2	7	1
Staurosirella oldenburgiana	Large	Motile	Unicellular life form	Weak attachment	N	1.5	7	1
Staurosirella pinnata	Large	Motile	Unicellular life form	Weak attachment	N	2	7	1
Staurosirella spp.	Large	Motile	Unicellular life form	Weak attachment	N	1.774	7	1
Stenopterobia spp.	Meso	Low profile	Colonial life form	Strong attachment	N	3	5	3
Stephanodiscus hantzschii	Large	High profile	Colonial life form	Unattached	N	4.2	6	4
Stephanodiscus hantzschii f. tenuis	Large	High profile	Colonial life form	Unattached	N	3.212	6	3.593
Stephanodiscus minutulus	Large	High profile	Unicellular life form	Unattached	N	2	6	3
Stephanodiscus parvus	Large	High profile	Unicellular life form	Unattached	N	3	6	3.274
Stephanodiscus tenuis	Large	Motile	Unicellular life form	Weak attachment	N	3	6	3.606
Stephanodiscus triporus	Large	Motile	Unicellular life form	Weak attachment	N	3.328	6	3.366
Surirella angusta	Large	Motile	Unicellular life form	Weak attachment	N	2	5	2
Surirella astridae	Macro	Motile	Unicellular life form	Weak attachment	N	2.029	5	3.081
Surirella bifrons	Macro	Motile	Unicellular life form	Weak attachment	N	2	5	2.933
Surirella biseriata var. heteropolis	Macro	Motile	Unicellular life form	Weak attachment	N	2.237	5	2.983
Surirella biseriata var. diminuta	Macro	Motile	Unicellular life form	Weak attachment	N	2.239	5	2.925
Surirella brebissonii	Macro	Motile	Unicellular life form	Unattached	N	2.38	5	2.814
Surirella gracilis	Macro	Motile	Unicellular life form	Weak attachment	N	1	5	2.817
Surirella lacrimula	Macro	Motile	Unicellular life form	Unattached	N	2.188	5	3.338
Surirella linearis	Macro	Motile	Unicellular life form	Weak attachment	N	1	5	2.944
Surirella linearis var. constricta	Macro	Motile	Unicellular life form	Weak attachment	N	1	5	3.086
Surirella minuta	Macro	Motile	Unicellular life form	Weak attachment	N	3	5	3
Surirella ovalis	Large	Motile	Unicellular life form	Unattached	N	4	5	4
Surirella ovata	Large	Motile	Unicellular life form	Weak attachment	N	3	5	2.99
Surirella robusta	Large	Motile	Unicellular life form	Weak attachment	N	1	5	2.941
Surirella spp.	Large	Motile	Unicellular life form	Weak attachment	N	2.24	5	2.978
Surirella splendida	Large	Motile	Unicellular life form	Weak attachment	N	1	5	2.673
Surirella stalagma	Nano	Motile	Unicellular life form	Unattached	N	2	5	2.899
Surirella subsalsa	Large	Motile	Unicellular life form	Weak attachment	N	4	5	2.946
Surirella suecica	Large	Motile	Unicellular life form	Unattached	N	4	5	3.487
Surirella tenera	Large	Motile	Unicellular life form	Weak attachment	N	2	5	2.781
Surirella tientsinensis	Large	Motile	Unicellular life form	Weak attachment	N	2.083	5	2.908
Surirella visurgis	Macro	Motile	Unicellular life form	Weak attachment	N	2.095	5	2.899
Synedra affinis	Large	High profile	Unicellular life form	Weak attachment	N	4	3	1
Synedra amphicephala	Large	High profile	Unicellular life form	Weak attachment	N	2	3	3
Synedra parasitica	Large	High profile	Unicellular life form	Weak attachment	N	2	3	1
Synedra rostrata	Large	High profile	Unicellular life form	Weak attachment	N	3	3	1
Synedra rumpens	Large	High profile	Unicellular life form	Weak attachment	N	2	3	2
Tabellaria fenestriata	Large	High profile	Colonial life form	Strong attachment	N	4	5	3
Tabellaria spp.	Large	High profile	Colonial life form	Strong attachment	N	4	5	3
Tabularia affinis	Large	High profile	Colonial life form	Strong attachment	N	4	5	3
Tabularia fasciculata	Large	High profile	Unicellular life form	Weak attachment	N	4	5	3
Tabularia sinensis	Large	High profile	Colonial life form	Strong attachment	N	4	5	3
Tabularia tabulata	Large	High profile	Colonial life form	Strong attachment	N	4	5	3
Tetracyclus lacustris	Large	High profile	Colonial life form	Strong attachment	N	1	3	1
Thalassiosira aestivalis	Nano	High profile	Colonial life form	Strong attachment	N	3.577	5.434	3
Thalassiosira concaviuscula	Nano	High profile	Colonial life form	Strong attachment	N	3.697	5.534	3
Thalassiosira duostra	Nano	High profile	Colonial life form	Strong attachment	N	3.575	5.527	3
Thalassiosira gessneri	Nano	High profile	Colonial life form	Strong attachment	N	3	5.529	3
Thalassiosira hendeyi	Nano	High profile	Colonial life form	Strong attachment	N	3.425	5.294	3
Thalassiosira lacustris	Micro	High profile	Unicellular life form	Unattached	N	3	5.534	3
Thalassiosira pseudonana	Nano	High profile	Colonial life form	Strong attachment	N	4	6	3
Thalassiosira spp.	Nano	High profile	Colonial life form	Strong attachment	N	3.566	5.431	3
Thalassiosira tenera	Nano	High profile	Colonial life form	Strong attachment	N	3.396	5	3
Thalassiosira weissflogii	Micro	High profile	Colonial life form	Unattached	N	4	5.516	3
Trieres spp.	Nano	High profile	Colonial life form	Strong attachment	N	1.35	3	1
Tryblionella angustata	Macro	Low profile	Colonial life form	Strong attachment	N	2.2	5	2.436
Tryblionella angustatula	Macro	Low profile	Colonial life form	Strong attachment	N	3.576	5	2.359
Tryblionella apiculata	Macro	Motile	Unicellular life form	Unattached	N	3.6	5	3
Tryblionella calida	Macro	Motile	Unicellular life form	Weak attachment	N	3.7	5	1.734
Tryblionella constricta	Macro	Low profile	Colonial life form	Strong attachment	N	3.6	5	2.242
Tryblionella debilis	Macro	Low profile	Colonial life form	Strong attachment	N	4	5	1
Tryblionella gracilis	Large	Motile	Unicellular life form	Unattached	N	4	5	1.447
Tryblionella hungarica	Macro	Motile	Unicellular life form	Weak attachment	N	3.8	5	2.242
Tryblionella levidensis	Macro	Low profile	Colonial life form	Strong attachment	N	4	5	2.353
Tryblionella littoralis	Macro	Low profile	Colonial life form	Strong attachment	N	4	5	1.573
Tryblionella plioveterana	Macro	Low profile	Colonial life form	Strong attachment	N	3.63	5	2.188
Tryblionella salinarum	Macro	Low profile	Colonial life form	Strong attachment	N	3.7	5	2.439
Tryblionella spp.	Macro	Low profile	Colonial life form	Strong attachment	N	3.635	5	2.467
Tryblionella victoriae	Macro	Low profile	Colonial life form	Strong attachment	N	4	5	1.728
Ulnaria acus	Large	High profile	Colonial life form	Weak attachment	N	2	5	2
Ulnaria acus var. angustissima	Large	Motile	Unicellular life form	Weak attachment	N	2.449	6.435	2.351
Ulnaria amphicephala	Large	Motile	Unicellular life form	Weak attachment	N	2.536	6.477	2.378
Ulnaria biceps	Large	Motile	Unicellular life form	Weak attachment	N	3	6.474	2.381
Ulnaria capitata	Large	High profile	Colonial life form	Strong attachment	N	2	6.233	2.32
Ulnaria constracta	Large	Motile	Unicellular life form	Weak attachment	N	2.448	6.232	2.209
Ulnaria danica	Large	Motile	Unicellular life form	Weak attachment	N	2	6.445	2.352
Ulnaria lanceolata	Large	Motile	Unicellular life form	Weak attachment	N	2.5	6.142	2.282
Ulnaria spp.	Large	Motile	Unicellular life form	Weak attachment	N	2.391	6.45	2.357
Ulnaria ulna	Large	Motile	Unicellular life form	Weak attachment	N	3	7	3
Ulnaria ulna var. angustissima	Large	Motile	Unicellular life form	Weak attachment	N	2.588	7	2
Ulnaria ulna var. axyrhynnchus f. contracta	Large	Motile	Unicellular life form	Weak attachment	N	2.546	6.443	2.357
Ulnaria ulna var. constracta	Large	Motile	Unicellular life form	Weak attachment	N	2.563	6.554	2.378
Ulnaria ulna var. spathulifera	Large	Motile	Unicellular life form	Weak attachment	N	2.412	6.252	2.31
